"","date","returns","symbol"
"108",2018-06-01,-0.0386481802426343,"bvpf"
"109",2018-07-01,-0.051739679105823,"bvpf"
"110",2018-08-01,0.0567490494296579,"bvpf"
"111",2018-09-01,0.0347215975532968,"bvpf"
"112",2018-10-01,-0.00086933843345216,"bvpf"
"113",2018-11-01,-0.0677803880622988,"bvpf"
"114",2018-12-01,0.012880343475826,"bvpf"
"115",2019-01-01,-0.024511610762993,"bvpf"
"116",2019-02-01,0.0296618174948045,"bvpf"
"117",2019-03-01,0.0194495412844036,"bvpf"
"118",2019-04-01,0.0234881209503239,"bvpf"
"119",2019-05-01,-0.0109030159148862,"bvpf"
"120",2019-06-01,-0.00871188550093338,"bvpf"
"121",2019-07-01,0.0133620303111828,"bvpf"
"122",2019-08-01,0.0061946902654868,"bvpf"
"123",2019-09-01,-0.00105540897097622,"bvpf"
"124",2019-10-01,0.00572283852790978,"bvpf"
"125",2019-11-01,0.016370480609297,"bvpf"
"126",2019-12-01,-0.0126614987080104,"bvpf"
"127",2020-01-01,0.00427462269911882,"bvpf"
"128",2020-02-01,-0.0467338429464906,"bvpf"
"129",2020-03-01,0.00227811190085658,"bvpf"
"130",2020-04-01,-0.15365033184835,"bvpf"
"131",2020-05-01,0.0842195724567623,"bvpf"
"132",2020-06-01,0.0802536411374219,"bvpf"
"133",2020-07-01,-0.0200862148032651,"bvpf"
"134",2020-08-01,-0.00814301759640579,"bvpf"
"135",2020-09-01,0.0630367085024064,"bvpf"
"136",2020-10-01,0.02982689747004,"bvpf"
"137",2020-11-01,0.033531592104129,"bvpf"
"138",2020-12-01,0.0477064220183485,"bvpf"
"139",2021-01-01,0.0655946505333547,"bvpf"
"140",2021-02-01,-0.0274167040191244,"bvpf"
"141",2021-03-01,0.0871034641677548,"bvpf"
"142",2021-04-01,0.0158270331378507,"bvpf"
"143",2021-05-01,0.0164151074633094,"bvpf"
"144",2021-06-01,0.0687059467597344,"bvpf"
"145",2021-07-01,0.0270218351796119,"bvpf"
"146",2014-01-01,0,"dcbc"
"147",2014-02-01,0.11245122383824,"dcbc"
"148",2014-03-01,0.0232780612244898,"dcbc"
"149",2014-04-01,0.0484055261244416,"dcbc"
"150",2014-05-01,-0.0145645496879026,"dcbc"
"151",2014-06-01,-0.0631409611904283,"dcbc"
"152",2014-07-01,0.0414251985404592,"dcbc"
"153",2014-08-01,0.0522464962901896,"dcbc"
"154",2014-09-01,0.067476251101753,"dcbc"
"155",2014-10-01,-0.0143119266055046,"dcbc"
"156",2014-11-01,-0.0377885331347729,"dcbc"
"157",2014-12-01,-0.0747726833043142,"dcbc"
"158",2015-01-01,-0.0572922111866179,"dcbc"
"159",2015-02-01,0.00909393368082512,"dcbc"
"160",2015-03-01,0.0497856907352456,"dcbc"
"161",2015-04-01,-0.0571608040201005,"dcbc"
"162",2015-05-01,0.0108816344659115,"dcbc"
"163",2015-06-01,0.0477811950790861,"dcbc"
"164",2015-07-01,0.0983331586120137,"dcbc"
"165",2015-08-01,-0.00935382265915818,"dcbc"
"166",2015-09-01,-0.0436458232970421,"dcbc"
"167",2015-10-01,0.0187386661293572,"dcbc"
"168",2015-11-01,0.0688291139240507,"dcbc"
"169",2015-12-01,-0.0256291635825314,"dcbc"
"170",2016-01-01,0.0218402810749216,"dcbc"
"171",2016-02-01,-0.0516680605891646,"dcbc"
"172",2016-03-01,0.0477217050465457,"dcbc"
"173",2016-04-01,0.000748222970445189,"dcbc"
"174",2016-05-01,0.0432710280373831,"dcbc"
"175",2016-06-01,0.0282182209083579,"dcbc"
"176",2016-07-01,0.0620317128419585,"dcbc"
"177",2016-08-01,0.0178014766201804,"dcbc"
"178",2016-09-01,0.0490045941807045,"dcbc"
"179",2016-10-01,0.0102958125240107,"dcbc"
"180",2016-11-01,-0.0316373868735265,"dcbc"
"181",2016-12-01,-0.00337705175528158,"dcbc"
"182",2017-01-01,-0.0130811662726557,"dcbc"
"183",2017-02-01,0.0283455764931331,"dcbc"
"184",2017-03-01,0.0225172761860393,"dcbc"
"185",2017-04-01,0.0381198268661249,"dcbc"
"186",2017-05-01,-0.00921658986175111,"dcbc"
"187",2017-06-01,0.0422296050203026,"dcbc"
"188",2017-07-01,0.0545441666076363,"dcbc"
"189",2017-08-01,-0.00396318935984419,"dcbc"
"190",2017-09-01,0.0175343943889938,"dcbc"
"191",2017-10-01,0.0273727465535525,"dcbc"
"192",2017-11-01,0.0126443455260952,"dcbc"
"193",2017-12-01,0.131171561444862,"dcbc"
"194",2018-01-01,0.0312570398738454,"dcbc"
"195",2018-02-01,0.0879799027906722,"dcbc"
"196",2018-03-01,0.0271559080413613,"dcbc"
"197",2018-04-01,0.0624541856032841,"dcbc"
"198",2018-05-01,-0.0907961915275286,"dcbc"
"199",2018-06-01,-0.0527647088581981,"dcbc"
"200",2018-07-01,-0.0625400555436872,"dcbc"
"201",2018-08-01,-0.0120207371959209,"dcbc"
"202",2018-09-01,0.0391535001729904,"dcbc"
"203",2018-10-01,0.0266355918095555,"dcbc"
"204",2018-11-01,-0.108967082860386,"dcbc"
"205",2018-12-01,-0.00624810433727629,"dcbc"
"206",2019-01-01,-0.0128189476254426,"dcbc"
"207",2019-02-01,-0.0059980212713332,"dcbc"
"208",2019-03-01,0.0563608087091758,"dcbc"
"209",2019-04-01,0.000294446734585785,"dcbc"
"210",2019-05-01,-0.00129518426939834,"dcbc"
"211",2019-06-01,-0.0190992690403207,"dcbc"
"212",2019-07-01,0.0124399038461538,"dcbc"
"213",2019-08-01,0.0420252864011397,"dcbc"
"214",2019-09-01,0.00301908288236974,"dcbc"
"215",2019-10-01,0.0311222171740118,"dcbc"
"216",2019-11-01,0.00727032385988102,"dcbc"
"217",2019-12-01,-0.0459864391951006,"dcbc"
"218",2020-01-01,0.00498653063563936,"dcbc"
"219",2020-02-01,-0.026348808030113,"dcbc"
"220",2020-03-01,-0.0336808809746955,"dcbc"
"221",2020-04-01,-0.264169242892647,"dcbc"
"222",2020-05-01,0.144987231238158,"dcbc"
"223",2020-06-01,0.150442477876106,"dcbc"
"224",2020-07-01,-0.0399624765478424,"dcbc"
"225",2020-08-01,-0.0569982411569279,"dcbc"
"226",2020-09-01,0.140741032410842,"dcbc"
"227",2020-10-01,0.0378801687600183,"dcbc"
"228",2020-11-01,0.000523953668025934,"dcbc"
"229",2020-12-01,0.112137929425761,"dcbc"
"230",2021-01-01,0.0833330274560677,"dcbc"
"231",2021-02-01,-0.0462607562611145,"dcbc"
"232",2021-03-01,0.155775563823346,"dcbc"
"233",2021-04-01,0.0154880002248201,"dcbc"
"234",2021-05-01,0.0588481256118527,"dcbc"
"235",2021-06-01,0.128961267066409,"dcbc"
"236",2021-07-01,0.0493247329750814,"dcbc"
"237",2004-05-01,0,"dcds"
"238",2004-06-01,0.00989985678961602,"dcds"
"239",2004-07-01,-0.00584214525830429,"dcds"
"240",2004-08-01,-0.0018929252840586,"dcds"
"241",2004-09-01,0.00349293171324994,"dcds"
"242",2004-10-01,0.00586725718661385,"dcds"
"243",2004-11-01,-0.00603106836068101,"dcds"
"244",2004-12-01,-0.00427582637945534,"dcds"
"245",2005-01-01,0.0109868835632012,"dcds"
"246",2005-02-01,0.00988046538945464,"dcds"
"247",2005-03-01,0.0163389917649648,"dcds"
"248",2005-04-01,0.0136696935243943,"dcds"
